token,count
route,64
start,63
richtung,62
straße,48
tour,47
strecke,33
brücke,31
bahnhof,28
parken,19
bus,17
grenze,15
auto,14
startpunkt,14
abzweigung,13
kreuzung,13
station,13
schleife,12
unterwegs,12
etappe,12
fahren,11
landstraße,11
friedhof,10
zug,9
bischofsweg,9
markierung,8
abfahrt,7
nördlich,7
wegweiser,7
überqueren,7
südlich,7
endpunkt,7
reise,7
abzweig,7
haltestelle,6
schleuse,6
bushaltestelle,6
abbiegen,6
holzbrücke,6
asphalt,5
straßen,5
wegzeichen,5
straßenkreuzung,5
mtb,5
radweg,5
hauptweg,5
östlich,5
norden,4
quert,4
passage,4
ankunft,4
stopp,4
tunnel,4
hauptstraße,4
marktplatz,4
fahrrad,4
kopfsteinpflaster,4
gps,3
kanal,3
brücken,3
endhaltestelle,3
bahn,3
flugplatz,3
waldwege,3
streckenverlauf,3
rückfahrt,3
fuhr,3
radfahrer,3
stadtzentrum,3
marienbrücke,3
umrundet,3
schilder,3
teilstück,3
ortseingang,3
unbefestigte,3
vennbahn,3
fährt,3
nördlicher,3
rundstrecke,3
traben,3
königsplatz,3
autobahntrasse,3
kinderwagen,2
haupteingang,2
chemin,2
umrunden,2
fuhren,2
asphaltierten,2
zielpunkt,2
startziel,2
querend,2
fahrt,2
kirnitzschtalbahn,2
tagesticket,2
trambahn,2
parkhaus,2
kreisstraße,2
steigung,2
reitweg,2
überquert,2
feldweg,2
flussaufwärts,2
wirtschaftsweg,2
gefahren,2
biegen,2
startplatz,2
bundesstraße,2
damm,2
anstiegen,2
landesgrenze,2
ansteigend,2
sperrung,2
fahrradweg,2
flussabwärts,2
abhörstation,2
embarcadero,2
unbefestigt,2
autobahn,2
befahren,2
abzubiegen,2
höhenprofil,2
bahndamm,2
hafen,2
weggabelung,2
brockenbahn,2
strasse,2
verkehrszeichen,2
fähranleger,2
strommast,2
enduro,2
bahntrasse,2
eisenbahn,2
spurrillen,2
sichtweite,2
bhf,2
wirtschaftswege,2
hängebrücke,2
fähre,2
stromaufwärts,2
leitweg,2
retour,1
rauf,1
landstraßen,1
routen,1
stadion,1
abbog,1
fahrwegs,1
furt,1
abzweigend,1
eisenbahnstrecke,1
stopps,1
endstation,1
südliche,1
kommend,1
dampfzug,1
neckarbrücke,1
verbotsschild,1
wegpunkten,1
südöstlicher,1
rampen,1
privatfahrzeug,1
verkehrsmitteln,1
straßenbahn,1
autobahnen,1
notausgang,1
talwärts,1
bergwärts,1
einmündung,1
radwege,1
umwege,1
routenverlauf,1
googlemaps,1
zwischenziel,1
bergstraßen,1
schwarzwaldbahn,1
beschilderung,1
marschierten,1
abfahrts,1
nebenstraßen,1
bequemeren,1
busses,1
unterquert,1
befahrbar,1
vorbeifuhr,1
piste,1
streckenkilometer,1
streckenabschnitten,1
renntag,1
checkpoint,1
radrunde,1
abzweigen,1
drehkreuz,1
reichsautobahn,1
autobahnbrücke,1
wegpunkte,1
abbiegung,1
allee,1
sandpisten,1
rundkurs,1
ausfallstraße,1
verbindungskanal,1
fuhrwerke,1
postkutschen,1
autos,1
umgehung,1
biegung,1
unbefestigten,1
fahrweg,1
alsterlauf,1
verbindungsweg,1
steigungen,1
abfahrten,1
limesstraße,1
busse,1
nordwestlich,1
betriebsbahnhof,1
gabelung,1
einfahrt,1
kreuzt,1
jakobsweg,1
radroute,1
westlich,1
anzuhalten,1
hinweisschild,1
rückreise,1
rennrad,1
strecken,1
verkehr,1
bundesstrasse,1
viaduct,1
läufe,1
römerstraße,1
streckenbeschreibung,1
hausnummer,1
dampfer,1
motorradfahrer,1
kriegsgräberstätte,1
startend,1
schranke,1
westtor,1
fahre,1
eisenbahntrasse,1
nebenwegen,1
altstraße,1
endspurt,1
gehweg,1
querweg,1
queren,1
anzufahren,1
biker,1
verkehrsstraße,1
sperrungen,1
routenwahl,1
abflug,1
bahngleise,1
straßenseite,1
westseite,1
teilstrecke,1
extratour,1
querende,1
halblinks,1
absperrung,1
bahnhofstrasse,1
hauptstrasse,1
dorfstrasse,1
zuweg,1
schiffsverkehr,1
eisenbahntunnel,1
stadtteil,1
gerader,1
großbaustelle,1
parkt,1
beschildert,1
wegbeschreibung,1
stromabwärts,1
fährfahrt,1
buslinie,1
absturzstelle,1
sichtachse,1
landstrasse,1
