token,count
parkplatz,98
rechts,75
links,63
straße,48
hotel,41
brücke,33
nähe,31
vorbei,30
bahnhof,28
ort,23
stadt,21
restaurant,21
familienzimmer,21
gasthaus,20
parken,19
haus,18
eingang,17
denkmal,17
hof,17
bus,17
park,15
auto,14
camping,13
abzweigung,13
rastplatz,13
kreuzung,13
station,13
campingplatz,12
unterwegs,12
gaststätte,11
fahren,11
landstraße,11
friedhof,10
jugendherberge,10
picknickplatz,10
geradeaus,9
treppe,9
hang,8
umgebung,8
nördlich,7
strand,7
überqueren,7
einkehrmöglichkeit,7
südlich,7
biergarten,7
grillplatz,7
platz,7
abzweig,7
besuch,6
haltestelle,6
fuß,6
schleuse,6
bushaltestelle,6
gasthof,6
abbiegen,6
altstadt,6
holzbrücke,6
museum,5
steg,5
parkplätze,5
straßen,5
rathaus,5
tor,5
mittagessen,5
straßenkreuzung,5
gesundbrunnen,5
pavillon,5
terrasse,5
pension,5
grunewald,5
radweg,5
östlich,5
gelegene,4
gedenkstein,4
bildstock,4
sportplatz,4
bar,4
forellenhof,4
festhalle,4
tunnel,4
infotafel,4
seeblick,4
hauptstraße,4
marktplatz,4
fahrrad,4
schilderwald,4
zoo,3
nymphenburger,3
häusern,3
restaurants,3
parkplätzen,3
hinweistafel,3
kanal,3
cafe,3
endhaltestelle,3
flugplatz,3
überfüllter,3
waldschänke,3
touristen,3
informationstafel,3
kurpark,3
parque,3
fuhr,3
radfahrer,3
stadtzentrum,3
marienbrücke,3
schilder,3
spielplatz,3
teufelsberg,3
teilstück,3
ortseingang,3
treppen,3
sitzbank,3
barrierefrei,3
sonntagsspaziergang,3
fährt,3
nördlicher,3
orte,3
zeughaus,3
königsplatz,3
gabelung,2
kinderwagen,2
haupteingang,2
golfplatz,2
begehbaren,2
embarcadero,2
kirnitzschtalbahn,2
tagesticket,2
trambahn,2
parkhaus,2
kreisstraße,2
flussaufwärts,2
angekommen,2
abseits,2
besucher,2
schwimmbad,2
biegen,2
wasserspielplatz,2
pool,2
kriegerdenkmal,2
bundesstraße,2
bänke,2
herberge,2
waldlehrpfad,2
gehminuten,2
kirchplatz,2
mittagspause,2
fuhren,2
sperrung,2
flussabwärts,2
nachbarschaft,2
abhörstation,2
gelegenen,2
playa,2
gebäude,2
schlachtensee,2
waldspaziergang,2
autobahn,2
abzubiegen,2
bahndamm,2
wasserturm,2
hafen,2
seebrücke,2
ecke,2
strasse,2
funkturm,2
verkehrszeichen,2
hochsaison,2
tierpark,2
fähranleger,2
