token,count
burg,83
schloss,53
ruine,34
kapelle,28
mühle,26
turm,18
kloster,15
burgen,11
wildenstein,10
schloß,9
burgruine,9
drachenfels,9
bastei,7
falkenstein,6
ruinen,5
klosters,5
pfarrkirche,5
linderhof,4
schanze,4
neuschwanstein,4
guttenberg,4
rheinfels,4
burghof,4
felsenburg,4
wartburg,4
restauriert,3
türme,3
klosterkirche,3
wassermühle,3
abtei,3
unterburg,3
oberburg,3
raubschloss,3
steinerne,3
drachenstein,3
schlosspark,2
klosterruine,2
eltz,2
wallburg,2
kathedrale,2
ritter,2
grafen,2
erbaute,2
bergfried,2
drachenburg,2
berwartstein,2
marienburg,2
castle,1
schlösser,1
burgstall,1
stammsitz,1
dorfkirche,1
wahrzeichen,1
zwiebelturm,1
turms,1
burganlage,1
burgtor,1
wallanlage,1
enzberg,1
höhlenburg,1
schlosses,1
märchenschloss,1
jagdschloss,1
ludwigstein,1
schlösschen,1
wasserschloss,1
zisterzienserkloster,1
burgberg,1
rundturmes,1
befestigungsanlage,1
grundmauern,1
freistuhl,1
erbaut,1
eltzer,1
anwesen,1
gutenfels,1
turme,1
steinerner,1
kasematten,1
residenz,1
burgherrn,1
fliehburg,1
graf,1
salzhaus,1
ringwall,1
schlossberg,1
steinernen,1
festung,1
jagdhaus,1
jagdhof,1
