token,count
wald,80
see,50
wasser,25
felsen,24
heide,19
brocken,19
fluss,17
wälder,17
bach,17
landschaft,16
baum,16
teich,14
naturschutzgebiet,13
stein,13
harz,12
dorf,12
wiese,11
wilde,11
natur,10
winter,9
dschungel,9
sonne,9
brunnen,9
höhle,9
berge,8
felder,8
wiesen,8
regen,8
elbe,8
linde,7
donau,7
fichten,7
wetter,7
hügel,7
sees,6
alpen,6
wäldern,6
bäume,6
steinbruch,6
höhlen,6
ufer,6
flusses,6
seen,6
hexentanzplatz,5
kreisförmiger,5
alb,5
tannen,5
forst,5
naturpark,5
eichen,5
steinen,5
sophienhöhle,5
graben,5
schneise,5
nadelwald,5
weiher,4
süden,4
gegend,4
dschungels,4
schluchten,4
holzkohle,4
boden,4
eiche,4
hirsche,4
landschaften,4
wild,4
hochwald,4
waldes,4
insel,4
klippen,4
mammutbaum,4
heidefläche,4
wilder,4
höhen,4
schilderwald,4
wilsede,3
elbsandsteingebirges,3
nationalpark,3
schnee,3
rothirsch,3
jahreszeit,3
eisenerz,3
rennöfen,3
flüssen,3
stauseen,3
mulde,3
hinab,3
grauwacke,3
bäumen,3
bachlauf,3
pferde,3
moor,3
gletscher,3
natürlichen,3
hasel,3
weinbergen,3
zauberwald,3
wasserlauf,3
bergen,3
naturparks,3
fels,3
buchenwälder,3
bärlauch,3
teiche,3
östlichsten,3
obelisk,3
tempelanlage,3
hgs,3
landschaftsschutzgebiet,3
quirl,3
umwelt,3
sandsteinfelsen,2
bauernhöfen,2
witterung,2
gärten,2
sträucher,2
lehm,2
holz,2
staumauer,2
bergwiesen,2
hektar,2
springkraut,2
hains,2
schwimmen,2
ziegen,2
umliegenden,2
umgestürzter,2
wegesrand,2
feuerstelle,2
feldern,2
wasserreservoir,2
fledermäuse,2
gewässer,2
täler,2
angrenzenden,2
bänke,2
gletschern,2
eiszeit,2
rutschig,2
hochstand,2
wildschweine,2
wasserfalle,2
hangs,2
heidelbeeren,2
wassers,2
tals,2
zugewachsen,2
bachläufe,2
ortschaften,2
eibe,2
natürlicher,2
grün,2
nebel,2
wilden,2
fischbeker,2
kühe,2
zusammenfluss,2
grube,2
urwald,2
darßer,2
kiefern,2
hänge,2
schattige,2
gras,2
meer,2
karpfen,2
forellen,2
tälern,2
höfen,2
würziger,2
fundstelle,2
tierpark,2
stausees,2
hochfläche,2
mäandrierenden,2
detritus,2
reben,2
waldgeister,2
maaren,2
böschung,2
böschungen,2
trinkwasser,2
würzige,2
gelände,2
mischwald,2
buntsandstein,2
dolomit,2
felsens,2
nsg,2
elbsandstein,2
vogelschutzgebiet,2
fischerei,1
steinbrüche,1
erdgeschichte,1
steilheit,1
wildtiere,1
zugewuchert,1
wildromantischen,1
granitfelsen,1
pilze,1
waldlichtung,1
teichs,1
feuchter,1
nebels,1
moos,1
gefroren,1
kaskade,1
ostufer,1
baumfällarbeiten,1
äsen,1
naturlandschaft,1
döberitzer,1
fläche,1
schafe,1
blühende,1
wiesenfläche,1
rodung,1
sträuchern,1
ackerbau,1
feuchten,1
sumpfigen,1
bergmännisch,1
schichtete,1
schlot,1
rauchabzug,1
luppe,1
ansammelten,1
abflussrinne,1
waldrändern,1
baumwurzeln,1
wolken,1
baumriesen,1
ahorne,1
orkan,1
bewachsene,1
felsklippen,1
fischerhütte,1
vulkanisches,1
ackerland,1
nordhälfte,1
damms,1
köhlerei,1
umgeknickt,1
sturmtief,1
entwurzelt,1
dächer,1
tagebau,1
zweiblatt,1
waldvögelein,1
anemone,1
breitblättriges,1
knabenkraut,1
wildrosen,1
fingerhut,1
asphalts,1
kies,1
pirsch,1
bannwald,1
hochsitz,1
pilz,1
naturgebiet,1
höhenrücken,1
bewaldeten,1
hügeln,1
wasserkraft,1
flüsse,1
zweigen,1
bärensee,1
gewittern,1
weinfass,1
holzturm,1
tropfsteinen,1
wintermonaten,1
tropfsteine,1
merkurbahn,1
becken,1
frühling,1
erfrischen,1
winden,1
fischzucht,1
schattigen,1
eingeschnittene,1
trinkwasserbrunnen,1
krokodil,1
zisterne,1
mauersockel,1
dichten,1
freigelegten,1
weinstock,1
wegrand,1
torf,1
botanisch,1
flusswasser,1
moräne,1
rutschige,1
stöcke,1
enten,1
etang,1
uferböschung,1
regnet,1
fischreiher,1
akelei,1
ausgesetzten,1
stellenweise,1
glitschig,1
ausgesetzte,1
drahtseil,1
kalktuff,1
ausgetrocknetes,1
flussbett,1
fliegenpilz,1
trocken,1
streuobstwiesen,1
mammutbäume,1
rosenstrauch,1
gespenstern,1
felspartien,1
kargen,1
sagenumwobenen,1
baeume,1
vegetation,1
umgebende,1
bergkulisse,1
alpenraumes,1
geländes,1
regnete,1
voralpenlandschaft,1
stahlseilen,1
feuchtwiesen,1
bäche,1
bauernhof,1
flora,1
pfützen,1
ausgetrocknet,1
mündung,1
blitzeinschlag,1
immergrün,1
rauher,1
reichswald,1
lac,1
nasse,1
eingezäunt,1
tierleben,1
sonniger,1
lanke,1
hügeligen,1
storch,1
befestigten,1
betonplatten,1
uneben,1
übersät,1
sandigen,1
saubersten,1
heidelandschaft,1
rasten,1
karpfenteich,1
mühlenteich,1
stechlinsee,1
fließ,1
feuchtgebiet,1
trinkflaschen,1
fußbad,1
garten,1
wildsau,1
nachthimmel,1
karge,1
inmitten,1
ostsee,1
darß,1
fauna,1
unberührter,1
frühlingshaften,1
gefällten,1
blütenpracht,1
winterquartier,1
trift,1
weihnachtsbäume,1
eichenwald,1
birke,1
käfer,1
wacholder,1
vögel,1
quellgebiet,1
schilf,1
bewachsen,1
wasserspender,1
oberlauf,1
blühenden,1
felsnadeln,1
kletterns,1
silbermine,1
heideflächen,1
feigenbaum,1
wassermühlen,1
forsten,1
teichen,1
teichwirtschaft,1
geräuchert,1
geräucherten,1
fischteiche,1
landesforstverwaltung,1
fischteich,1
harken,1
löns,1
waldfläche,1
wasserräder,1
felsbrocken,1
biologe,1
bären,1
blumengarten,1
rebschnitt,1
hute,1
dörfern,1
forschungsstation,1
naturwaldzelle,1
klimawandel,1
kraniche,1
baumstamm,1
bienenstöcke,1
wildnis,1
waldgebiete,1
bombenkrater,1
mittelgebirges,1
heu,1
wildtieren,1
östlichste,1
rogen,1
reservoirs,1
nest,1
kanadagänse,1
bachaue,1
kahler,1
jäger,1
niedrigwasser,1
schmetterlinge,1
forelle,1
natürliche,1
eichenwälder,1
walds,1
suhle,1
schwarzwild,1
löwenzahn,1
winterwetter,1
granat,1
stechginster,1
blühen,1
muddy,1
seidelbast,1
rutschgefahr,1
trockenes,1
laub,1
holzstufen,1
verwunschener,1
elefanten,1
regenschauer,1
heidekraut,1
bedeckt,1
talboden,1
halde,1
landschaftsarchitekt,1
abgelagert,1
pflaumenbäume,1
seenkette,1
hügelige,1
nassem,1
feucht,1
staudamm,1
seitenarm,1
schling,1
bachtäler,1
fichtenforste,1
tierwelt,1
waldstück,1
abgebauter,1
vulkankegel,1
waldsaum,1
baches,1
waldgeist,1
gehauene,1
weide,1
weiden,1
schifffahrt,1
verwitterung,1
weinbau,1
bächlein,1
parasol,1
sturmschäden,1
umgestürzten,1
silbrig,1
pflanzen,1
wasseraufnahme,1
warmen,1
matschigen,1
einsames,1
tälchen,1
weinberg,1
bewaldete,1
panoramen,1
niederschlägen,1
nadelbäumen,1
nass,1
wannen,1
steine,1
basalt,1
extensive,1
blätter,1
überwachsen,1
waldboden,1
felsklotz,1
ausläufern,1
felsenhöhle,1
trümmerhaufen,1
sandsteinen,1
laufgräben,1
verfüllt,1
südosten,1
sandsteins,1
einschlüsse,1
erosion,1
entwurzelten,1
unterholz,1
brunft,1
naturschutz,1
stinkende,1
nieswurz,1
schwanenteich,1
taucher,1
tiere,1
südwestlichen,1
nebenfluss,1
meeresspiegel,1
hütten,1
prähistorischen,1
reh,1
umgebenden,1
windräder,1
eisig,1
baumstämmen,1
myosotis,1
felsformationen,1
mäander,1
elbtal,1
bizarren,1
felstürmen,1
klettergebieten,1
bewaldetes,1
felsspalt,1
gruben,1
anlage,1
flußaufwärts,1
schwertlilie,1
feuchtwiese,1
mangroven,1
elbsandsteingebirge,1
flußufer,1
schwarzwasser,1
forstbetrieb,1
flusslaufes,1
doline,1
harzes,1
dreieckiger,1
pfahl,1
forstwirtschaft,1
ranger,1
laubwald,1
gehölz,1
nadelholz,1
queste,1
westsee,1
holzkonstruktionen,1
drachen,1
dörfer,1
waldwiese,1
