token,count
wald,81
hütte,58
see,53
wasser,25
felsen,24
heide,21
wasserfall,19
landschaft,17
fluss,17
wälder,17
bach,17
baum,16
klettern,16
teich,14
naturschutzgebiet,14
dorf,12
talsperre,12
wiese,11
wilde,11
dschungel,10
natur,10
berge,9
winter,9
brunnen,9
höhle,9
sees,8
felder,8
wiesen,8
elbe,8
donau,7
fichten,7
hügel,7
alpen,6
wäldern,6
kuhstall,6
bäume,6
steinbruch,6
höhlen,6
stausee,6
ufer,6
flusses,6
seen,6
hexentanzplatz,5
alb,5
wasserfälle,5
tannen,5
forst,5
jagdhütte,5
naturpark,5
eichen,5
forest,5
steinen,5
sophienhöhle,5
graben,5
schneise,5
nadelwald,5
weiher,4
moor,4
süden,4
schnee,4
lago,4
gegend,4
dschungels,4
bachlauf,4
boden,4
schluchten,4
arbersee,4
holzkohle,4
kahler,4
eiche,4
hirsche,4
landschaften,4
wild,4
hochwald,4
waldes,4
insel,4
klippen,4
mammutbaum,4
heidefläche,4
höhen,4
watzmann,3
havel,3
elbsandsteingebirges,3
nationalpark,3
nebel,3
rothirsch,3
jahreszeit,3
fischbeker,3
eisenerz,3
rennöfen,3
wilsede,3
flüssen,3
stauseen,3
mulde,3
grauwacke,3
bäumen,3
schanzenanlage,3
gletscher,3
natürlichen,3
hasel,3
weinbergen,3
zauberwald,3
wasserlauf,3
obersee,3
bergen,3
naturparks,3
fels,3
gezeltet,3
buchenwälder,3
bärlauch,3
teiche,3
sandgrube,3
östlichsten,3
tempelanlage,3
köhlerhütte,3
landschaftsschutzgebiet,3
quirl,3
sandsteinfelsen,2
ostsee,2
bauernhöfen,2
witterung,2
gärten,2
weide,2
bademöglichkeiten,2
sträucher,2
lehm,2
holz,2
staumauer,2
bergwiesen,2
hektar,2
springkraut,2
hains,2
ziegen,2
umliegenden,2
umgestürzter,2
wegesrand,2
feuerstelle,2
feldern,2
wasserreservoir,2
kalkofen,2
fledermäuse,2
gewässer,2
täler,2
gletschern,2
eiszeit,2
damm,2
hochstand,2
felsvorsprung,2
wildschweine,2
waldrand,2
wasserfalle,2
hügels,2
hangs,2
heidelbeeren,2
wassers,2
tals,2
zugewachsen,2
bachläufe,2
ortschaften,2
eibe,2
natürlicher,2
grotte,2
grün,2
wilden,2
zusammenfluss,2
grube,2
urwald,2
darßer,2
kiefern,2
hänge,2
schattige,2
gras,2
meer,2
karpfen,2
forellen,2
tälern,2
höfen,2
fundstelle,2
stausees,2
schifffahrt,2
mäandrierenden,2
detritus,2
reben,2
waldgeister,2
maaren,2
böschung,2
böschungen,2
trinkwasser,2
mischwald,2
dolomit,2
felsens,2
förster,2
nsg,2
elbsandstein,2
vogelschutzgebiet,2
ausgesetzter,1
steinbrüche,1
erdgeschichte,1
wildtiere,1
speicherbecken,1
zugewuchert,1
noor,1
deich,1
truppenübungsplatz,1
düne,1
kliff,1
