class,natura,desc_capt,url_track,unique_tokens,desc_capt_de
5,non-natura,"Un volt pels fantàstics boscos de Freudenstadt. Tot i estar tant a prop de Freudenstadt, us recomano aquesta excursió que nosaltres hem fet al Juny.",https://www.wikiloc.com/hiking-trails/passejada-fantastica-freudenstadt-25804121,23,"Ein Volt für die fantastischen Freussestatten -Wälder. Obwohl ich Freudenstadt so nahe ist, empfehle ich diesen Ausflug, den wir im Juni gemacht haben."
6,non-natura,"Imprescindible buen calzado y llevar agua potable, en verano. Algún tramo es estrecho con piedras sueltas y mojadas por la humedad Parking , Foto, Foto, Foto, Descanso a medio camino, Ayuda permanente de servicios forestales , Foto, Gran Casacada de Zweribach, Subida a pequeña cascada, Pequeña Casacada, Foto",https://www.wikiloc.com/hiking-trails/zweribach-wasserfalle-wildgutach-27220407,37,"Wesentliche gute Schuhe und Trinkwasser im Sommer tragen. Ein Abschnitt ist eng mit losen Steinen und nass durch das Parken, Foto, Foto, Foto, halb Pause, dauerhafte Hilfe von Walddiensten, Foto, großartige Casacada von Zweribach, hochladen auf kleine Wasserfall, Little Casacada, Foto"
5,non-natura,Prima parte primo giorno,https://www.wikiloc.com/hiking-trails/prima-parte-primo-giorno-27693208,4,Erster Teil erster Tag
5,non-natura,Plein soleil sortie apres les vendanges car pas beaucoup dombre,https://www.wikiloc.com/hiking-trails/parking-avant-durbach-vignoble-27837499,10,"Volle Sonne nach der Ernte freigelassen, weil nicht viel dumm"
6,non-natura,"WWW Wanderung Abzweigung Rötelbach, Rötelbachbrücke, Kurz vor dem Ziel",https://www.wikiloc.com/hiking-trails/www-wanderung-26039073,9,"WWW Wanderung Abzweigung Rötelbach, Rötelbachbrücke, Kurz vor dem Ziel"
6,non-natura,Mountainbike - Freiburg - Roßkopf - St. Peter - St. Märgen - Wolfssteig - Freiburg,https://www.wikiloc.com/hiking-trails/mountainbike-freiburg-rosskopf-st-peter-st-margen-wolfssteig-freiburg-28893015,7,Mountainbike - Freiburg - Roßkopf - St. Peter - St. Märgen - Wolfssteig - Freiburg
6,non-natura,"La caminata la puedes empezar donde marcamos el final o bien un poco antes de donde está marcado el inicio.  Cruce de caminos , Cruce de caminos, Aca tomar a brombergsatel, Foto, Foto",https://www.wikiloc.com/hiking-trails/paseito-27859691,24,"Sie können den Spaziergang beginnen, an dem wir das Ende oder ein wenig vor dem Beginn markieren.  Straßenkreuzung, Kreuzung, hier nehmen Brombergsatel, Foto, Foto"
6,non-natura,Pracht wandeling met na 13 weg een afslag naar de Buchkopfturm. Daarna hernemen we de Wiesensteig.,https://www.wikiloc.com/hiking-trails/der-wiesensteig-eventueel-de-toren-26651565,15,Schöner Spaziergang mit einer Wende zum Buchkopfturm nach 13 Straße. Dann nehmen wir die Wiesensteig wieder auf.
5,non-natura,Wiehrebahnhof über St. Valentin zurück,https://www.wikiloc.com/hiking-trails/wiehrebahnhof-uber-st-valentin-zuruck-27991126,5,Wiehrebahnhof über St. Valentin zurück
6,non-natura,"Wildgehe Kleine Runde Waldshut der Foto, Foto, Foto, Foto, Steinbock Gehege Wildgehe Waldshut, Foto",https://www.wikiloc.com/hiking-trails/wildgehe-kleine-runde-waldshut-der-24580188,8,"Wildgehe Kleine Runde Waldshut der Foto, Foto, Foto, Foto, Steinbock Gehege Wildgehe Waldshut, Foto"
